Code,Name
A01,Metro Center
A02,Farragut North
A03,Dupont Circle
A04,Woodley Park-Zoo/Adams Morgan
A05,Cleveland Park
A06,Van Ness-UDC
A07,Tenleytown-AU
A08,Friendship Heights
A09,Bethesda
A10,Medical Center
A11,Grosvenor-Strathmore
A12,North Bethesda
A13,Twinbrook
A14,Rockville
A15,Shady Grove
B01,Gallery Pl-Chinatown
B02,Judiciary Square
B03,Union Station
B04,Rhode Island Ave-Brentwood
B05,Brookland-CUA
B06,Fort Totten
B07,Takoma
B08,Silver Spring
B09,Forest Glen
B10,Wheaton
B11,Glenmont
B35,NoMa-Gallaudet U
